inventory_table_id	item_id	min_amount	max_amount	spawn_chance	guaranteed	roll_equipment_enchantments
bat_1_initial_inventory	apple	1	1	1.0	true	true
bat_2_initial_inventory	apple	1	12	1.0	true	true
test_random_inventory	apple	1	2	1.0	true	false
test_random_inventory	bread	1	1	0.35	false	false
test_random_inventory	gold	1	5	0.40	false	false
test_random_inventory	mushroom_bad	1	1	0.10	false	false
test_random_inventory	wood	1	1	0.10	false	false
weak_enemy_basic_inventory	apple	1	1	0.15	false	false
weak_enemy_basic_inventory	bread	1	1	0.1	false	false
weak_enemy_basic_inventory	gold	1	3	0.2	false	false
beast_basic_inventory	apple	1	2	0.2	false	false
beast_basic_inventory	meat_skewer	1	1	0.08	false	false
humanoid_basic_inventory	gold	2	8	0.35	false	false
humanoid_basic_inventory	bread	1	1	0.15	false	false
humanoid_basic_inventory	healing_potion	1	1	0.05	false	false
plant_basic_inventory	wood	1	2	0.2	false	false
plant_basic_inventory	apple	1	1	0.12	false	false
plant_basic_inventory	mushroom_bad	1	1	0.05	false	false
undead_basic_inventory	gold	1	4	0.18	false	false
undead_basic_inventory	hallucination_powder	1	1	0.06	false	false
undead_basic_inventory	curse_orb	1	1	0.03	false	false
construct_basic_inventory	gold	1	2	0.08	false	false
construct_basic_inventory	wood	1	1	0.05	false	false
