enemy_type_id	enemy_name	base_difficulty	spawn_generator_tags	habitat_tags	rarity	can_be_quest_target	quest_rank	is_nocturnal	faction	max_hp	attack	defense	speed	accuracy	evasion	crit_rate	crit_damage	luck	element	element_resistances	strength	vitality	agility	dexterity	intelligence	spirit	sense	charm	gathering	investigation	stealth	trap_disarm	fishing	appraisal	cooking	repair	smithing	alchemy	negotiation	speech	medical	equipped_weapon	equipped_armor	equipped_accessory	equipped_right_hand	equipped_left_hand	equipped_head	equipped_body	equipped_hands	equipped_waist	equipped_feet	equipped_accessory_1	equipped_accessory_2	equipped_accessory_3	equipped_accessory_4	initial_inventory_items	drop_inventory_on_death	drop_equipped_items_on_death	death_inventory_drop_radius	attacked_by_player_behavior_path	override_combat_style	combat_style	override_move_style	move_style	talk_display_name	talk_greeting_text	talk_portrait_path	unit_roles	friendliness	disable_hunger_decay	auto_eat_food_when_hungry	auto_generate_food_when_hungry	auto_generated_food_item_id	can_offer_request	can_trade	can_receive_order	extra_interact_actions	can_generate_shop_inventory	shop_min_items	shop_max_items	request_description	request_accept_text	request_decline_text	random_talk_texts	animation_profile_path	sprite_scale_x	sprite_scale_y	idle_right_frames	walk_right_frames	idle_left_frames	walk_left_frames	idle_down_frames	walk_down_frames	idle_up_frames	walk_up_frames
bat	bat	1	SEA		1	true	1	false	ENEMY	8	2	0	180.0	0.95	0.05	0.05	1.5	0	neutral	neutral=1.0	10	10	10	10	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	knife															true	true	5		false	1	false	1	bat 難易度1	……	res://assets/bat.png	1	-100	true	false	false	apple	false	false	false		false	3	6	こちらの頼みを聞くつもりか？	いい度胸だ。	賢明な判断かもしれんな。	……。|こちらを見るな。|近づきすぎるな。	res://data/owl_animation_profile.tres	1.0	1.0	res://assets/bat.png	res://assets/bat_right_1.png|res://assets/bat_right_2.png	res://assets/bat.png	res://assets/bat_left_1.png|res://assets/bat_left_2.png	res://assets/bat.png	res://assets/bat_back_1.png|res://assets/bat_back_2.png	res://assets/bat.png	res://assets/bat.png|res://assets/bat.png
orc	orc	3	SEA		1	true	1	false	ENEMY	25	8	4	88.0	0.95	0.05	0.05	1.5	0	neutral	neutral=1.0	10	10	10	10	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	bow															true	true	5		false	2	false	1	難易度3	……	res://assets/orc_front_2.png	0	-100	true	false	false	apple	false	false	false		false	3	6	こちらの頼みを聞くつもりか？	いい度胸だ。	賢明な判断かもしれんな。	……。|こちらを見るな。|近づきすぎるな。	res://data/unit/animation_profiles/enemy/slime2_animation_profile.tres	1.0	1.0	res://assets/orc.png	res://assets/orc_right_1.png|res://assets/orc_right_2.png	res://assets/orc.png	res://assets/orc_left_1.png|res://assets/orc_left_2.png	res://assets/orc.png	res://assets/orc_back_1.png|res://assets/orc_back_2.png	res://assets/orc.png	res://assets/orc_front_1.png|res://assets/orc_front_2.png
slime	slime	5	SEA		1	true	1	false	ENEMY	10	1	0	100.0	0.95	0.05	0.05	1.5	0	neutral	neutral=1.0	10	10	10	10	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0																true	true	5		false	1	false	1	難易度5	……	res://assets/slime.png	0	-100	true	false	false	apple	false	false	false		false	3	6	こちらの頼みを聞くつもりか？	いい度胸だ。	賢明な判断かもしれんな。	……。|こちらを見るな。|近づきすぎるな。	res://data/lama_animation_profile.tres	1.0	1.0	res://assets/slime.png	res://assets/slime_right_1.png|res://assets/slime_right_2.png	res://assets/slime.png	res://assets/slime_left_1.png|res://assets/slime_left_2.png	res://assets/slime.png	res://assets/slime_back_1.png|res://assets/slime_back_2.png	res://assets/slime.png	res://assets/slime_front_1.png|res://assets/slime_front_2.png
bat_1	bat_1	1	FOREST|NATURAL		1	true	1	false	ENEMY	8	2	0	130.0	0.95	0.05	0.05	1.5	0	neutral	neutral=1.0	10	10	10	10	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0															apple,1,1,1.0,true	true	true	5		false	1	false	1	bat 難易度1	……	res://icon.svg	0	-100	true	false	false	apple	false	false	false		false	3	6	こちらの頼みを聞くつもりか？	いい度胸だ。	賢明な判断かもしれんな。	……。|こちらを見るな。|近づきすぎるな。	res://data/unit/animation_profiles/enemy/bat1_animation_profile.tres	2.0	2.0	res://assets/bat.png	res://assets/bat_right_1.png|res://assets/bat_right_2.png	res://assets/bat.png	res://assets/bat_left_1.png|res://assets/bat_left_2.png	res://assets/bat.png	res://assets/bat_back_1.png|res://assets/bat_back_2.png	res://assets/bat.png	res://assets/bat.png|res://assets/bat.png
bat_2	bat_2	2	FOREST|NATURAL		1	true	1	false	ENEMY	8	2	0	140.0	0.95	0.05	0.05	1.5	0	neutral	neutral=1.0	10	10	10	10	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0				knife											apple,1,12,1.0,true	true	true	5		false	1	false	1	bat 難易度2	……	res://assets/glass.png	0	-100	true	false	false	apple	false	false	false		false	3	6	こちらの頼みを聞くつもりか？	いい度胸だ。	賢明な判断かもしれんな。	……。|こちらを見るな。|近づきすぎるな。	res://data/unit/animation_profiles/enemy/bat2_animation_profile.tres	1.0	1.0	res://assets/bat.png	res://assets/bat_right_1.png|res://assets/bat_right_2.png	res://assets/bat.png	res://assets/bat_left_1.png|res://assets/bat_left_2.png	res://assets/bat.png	res://assets/bat_back_1.png|res://assets/bat_back_2.png	res://assets/bat.png	res://assets/bat.png|res://assets/bat.png
bat_3	bat_3	3	FOREST|NATURAL		1	true	1	false	ENEMY	8	2	0	130.0	0.95	0.05	0.05	1.5	0	neutral	neutral=1.0	10	10	10	10	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0							cloth_armor									true	true	5		false	1	false	1	bat 難易度3	……	res://icon.svg	0	-100	true	false	false	apple	false	false	false		false	3	6	こちらの頼みを聞くつもりか？	いい度胸だ。	賢明な判断かもしれんな。	……。|こちらを見るな。|近づきすぎるな。	res://data/unit/animation_profiles/enemy/bat3_animation_profile.tres	1.0	1.0	res://assets/bat.png	res://assets/bat_right_1.png|res://assets/bat_right_2.png	res://assets/bat.png	res://assets/bat_left_1.png|res://assets/bat_left_2.png	res://assets/bat.png	res://assets/bat_back_1.png|res://assets/bat_back_2.png	res://assets/bat.png	res://assets/bat.png|res://assets/bat.png
bat_4	bat_4	4	FOREST|NATURAL		1	true	1	false	ENEMY	8	2	0	140.0	0.95	0.05	0.05	1.5	0	neutral	neutral=1.0	10	10	10	10	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0											power_ring					true	true	5		false	1	false	1	bat 難易度4	……	res://assets/glass.png	0	-100	true	false	false	apple	false	false	false		false	3	6	こちらの頼みを聞くつもりか？	いい度胸だ。	賢明な判断かもしれんな。	……。|こちらを見るな。|近づきすぎるな。	res://data/unit/animation_profiles/enemy/bat4_animation_profile.tres	1.0	1.0	res://assets/bat.png	res://assets/bat_right_1.png|res://assets/bat_right_2.png	res://assets/bat.png	res://assets/bat_left_1.png|res://assets/bat_left_2.png	res://assets/bat.png	res://assets/bat_back_1.png|res://assets/bat_back_2.png	res://assets/bat.png	res://assets/bat.png|res://assets/bat.png
block_1	block_1	1	SAND|NATURAL		1	true	1	false	ENEMY	8	2	0	130.0	0.95	0.05	0.05	1.5	0	neutral	neutral=1.0	10	10	10	10	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0																true	true	5		false	1	false	1	block 難易度1	……		0	-100	true	false	false	apple	false	false	false		false	3	6	こちらの頼みを聞くつもりか？	いい度胸だ。	賢明な判断かもしれんな。	……。|こちらを見るな。|近づきすぎるな。	res://data/unit/animation_profiles/enemy/block1_animation_profile.tres	1.0	1.0	res://assets/bat.png	res://assets/bat_right_1.png|res://assets/bat_right_2.png	res://assets/bat.png	res://assets/bat_left_1.png|res://assets/bat_left_2.png	res://assets/bat.png	res://assets/bat_back_1.png|res://assets/bat_back_2.png	res://assets/bat.png	res://assets/bat.png|res://assets/bat.png
block_2	block_2	1	SAND|NATURAL		1	true	1	false	ENEMY	8	2	0	130.0	0.95	0.05	0.05	1.5	0	neutral	neutral=1.0	10	10	10	10	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0																true	true	5		false	1	false	1	block 難易度1	……		0	-100	true	false	false	apple	false	false	false		false	3	6	こちらの頼みを聞くつもりか？	いい度胸だ。	賢明な判断かもしれんな。	……。|こちらを見るな。|近づきすぎるな。	res://data/unit/animation_profiles/enemy/block2_animation_profile.tres	1.0	1.0	res://assets/bat.png	res://assets/bat_right_1.png|res://assets/bat_right_2.png	res://assets/bat.png	res://assets/bat_left_1.png|res://assets/bat_left_2.png	res://assets/bat.png	res://assets/bat_back_1.png|res://assets/bat_back_2.png	res://assets/bat.png	res://assets/bat.png|res://assets/bat.png
block_2	block_2	1	SAND|NATURAL		1	true	1	false	ENEMY	8	2	0	130.0	0.95	0.05	0.05	1.5	0	neutral	neutral=1.0	10	10	10	10	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0																true	true	5		false	1	false	1	block 難易度1	……		0	-100	true	false	false	apple	false	false	false		false	3	6	こちらの頼みを聞くつもりか？	いい度胸だ。	賢明な判断かもしれんな。	……。|こちらを見るな。|近づきすぎるな。	res://data/unit/animation_profiles/enemy/block2_animation_profile.tres	1.0	1.0	res://assets/bat.png	res://assets/bat_right_1.png|res://assets/bat_right_2.png	res://assets/bat.png	res://assets/bat_left_1.png|res://assets/bat_left_2.png	res://assets/bat.png	res://assets/bat_back_1.png|res://assets/bat_back_2.png	res://assets/bat.png	res://assets/bat.png|res://assets/bat.png
block_4	block_4	1	SAND|NATURAL		1	true	1	false	ENEMY	8	2	0	130.0	0.95	0.05	0.05	1.5	0	neutral	neutral=1.0	10	10	10	10	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0																true	true	5		false	1	false	1	block 難易度1	……		0	-100	true	false	false	apple	false	false	false		false	3	6	こちらの頼みを聞くつもりか？	いい度胸だ。	賢明な判断かもしれんな。	……。|こちらを見るな。|近づきすぎるな。	res://data/unit/animation_profiles/enemy/block1_animation_profile.tres	1.0	1.0	res://assets/bat.png	res://assets/bat_right_1.png|res://assets/bat_right_2.png	res://assets/bat.png	res://assets/bat_left_1.png|res://assets/bat_left_2.png	res://assets/bat.png	res://assets/bat_back_1.png|res://assets/bat_back_2.png	res://assets/bat.png	res://assets/bat.png|res://assets/bat.png
