item_id	effect_id	order
potion	potion_restore_hp	1
apple	apple_restore_hunger	1
healing_potion	healing_potion_restore_hp	1
mushroom_bad	mushroom_bad_poison	1
paralysis_cure_potion	paralysis_cure_potion_cure_paralysis	1
poison_cure_potion	poison_cure_potion_cure_poison	1
potion_of_strength	potion_of_strength_attack_buff	1
teleport_stone	teleport_stone_teleport	1
fire_bottle	fire_bottle_burning	1
frost_bottle	frost_bottle_frostbite	1
sleep_orb	sleep_orb_sleep	1
confusion_mushroom	confusion_mushroom_confusion	1
softening_powder	softening_powder_defense_debuff	1
slow_slime	slow_slime_speed_debuff	1
blur_powder	blur_powder_accuracy_debuff	1
snare_smoke	snare_smoke_evasion_debuff	1
calm_breaker	calm_breaker_crit_rate_debuff	1
blast_stone	blast_stone_damage	1
guard_tonic	guard_tonic_defense_buff	1
swift_tonic	swift_tonic_speed_buff	1
focus_tonic	focus_tonic_accuracy_buff	1
dodge_tonic	dodge_tonic_evasion_buff	1
crit_oil	crit_oil_crit_rate_buff	1
life_seed	life_seed_max_hp_growth	1
small_gold_pouch	small_gold_pouch_grant_currency	1
supply_bag	supply_bag_grant_item	1
blind_sand	blind_sand_blind	1
hallucination_powder	hallucination_powder_hallucination	1
curse_orb	curse_orb_curse	1
bread	bread_restore_hunger	1
meat_skewer	meat_skewer_restore_hunger	1
travel_ration	travel_ration_restore_hunger	1
